Policy_Number,Premium_Amount,Claim_Amount,Incurred_Loss,Claim_Status,Policy_Status,Sum_Insured,Is_Fraud,Policy_Type
POL00000,1349.01,2076.45,3698.11,Closed,Active,145397.32,No,Life
POL00001,1158.52,1691.56,53.43,Closed,Active,345809.07,No,Auto
POL00002,1394.31,880.41,3145.77,Closed,Active,262526.81,No,Home
POL00003,1656.91,8612.39,248.34,Closed,Active,446070.53,Yes,Life
POL00004,1129.75,1861.67,734.66,Denied,Active,147083.31,No,Auto
POL00005,1129.76,541.59,2449.19,Closed,Active,355015.94,No,Life
POL00006,1673.76,214.69,315.47,Denied,Active,323488.46,No,Home
POL00007,1430.23,331.78,3066.42,Open,Cancelled,182885.66,No,Auto
POL00008,1059.16,564.61,3212.26,Closed,Active,111470.41,No,Auto
POL00009,1362.77,350.33,1274.75,Denied,Active,343237.89,No,Auto
POL00010,1060.97,412.98,11.53,Closed,Active,382368.86,No,Home
POL00011,1060.28,671.21,608.99,Open,Active,192032.3,No,Life
POL00012,1272.59,380.8,1727.15,Closed,Active,340174.67,No,Auto
POL00013,626.02,4541.5,7151.69,Open,Active,227808.91,No,Life
POL00014,682.52,167.27,1798.5,Open,Active,370943.1,No,Life
POL00015,1031.31,1486.82,541.51,Open,Lapsed,139646.87,No,Home
POL00016,896.15,1056.61,1809.25,Open,Active,450596.75,No,Auto
POL00017,1294.27,8077.28,1397.69,Closed,Active,179334.32,No,Life
POL00018,927.59,237.65,2724.17,Closed,Active,215503.69,No,Auto
POL00019,776.31,1014.52,203.66,Closed,Active,76141.38,No,Auto
POL00020,1639.69,6978.12,2576.54,Closed,Active,100180.5,No,Home
POL00021,1132.27,4012.49,1402.71,Closed,Active,282137.86,No,Auto
POL00022,1220.26,3397.33,5933.92,Closed,Active,170416.7,No,Auto
POL00023,772.58,596.55,753.04,Denied,Active,425966.1,No,Life
POL00024,1036.69,374.8,1802.45,Closed,Active,56612.02,No,Home
POL00025,1233.28,2209.12,4839.59,Open,Active,220592.32,No,Auto
POL00026,854.7,5300.77,194.68,Closed,Active,201805.5,No,Life
POL00027,1312.71,1627.3,4982.86,Open,Lapsed,58697.43,No,Home
POL00028,1019.81,1695.46,2095.89,Denied,Lapsed,105965.78,No,Home
POL00029,1112.49,656.95,126.45,Closed,Active,236139.2,No,Life
POL00030,1019.49,2934.95,644.49,Closed,Active,271789.06,No,Life
POL00031,1755.68,414.16,2216.86,Open,Active,231930.39,No,Life
POL00032,1195.95,782.18,125.51,Closed,Active,288921.96,No,Life
POL00033,882.69,1108.29,1570.83,Closed,Lapsed,317809.25,No,Life
POL00034,1446.76,1416.97,764.04,Closed,Active,54465.72,No,Auto
POL00035,833.75,555.23,1745.99,Closed,Active,258842.82,No,Auto
POL00036,1262.66,243.97,84.28,Closed,Active,483574.66,No,Home
POL00037,612.1,1886.4,3693.8,Closed,Active,283564.53,No,Auto
POL00038,801.54,681.13,6534.35,Closed,Active,354894.02,No,Auto
POL00039,1259.06,1740.91,6245.7,Closed,Lapsed,190338.74,No,Auto
POL00040,1421.54,335.33,2492.82,Denied,Active,398296.12,No,Life
POL00041,1251.41,1312.24,250.85,Closed,Active,397814.67,No,Home
POL00042,1165.31,1521.09,2555.83,Denied,Cancelled,284583.22,No,Home
POL00043,1109.67,106.43,44.81,Closed,Active,489206.22,No,Home
POL00044,756.44,820.77,40.27,Closed,Active,106497.6,No,Home
POL00045,984.05,288.7,703.77,Closed,Active,57626.45,No,Auto
POL00046,1061.81,130.94,1207.24,Closed,Active,396571.2,No,Auto
POL00047,1517.14,9202.4,2648.61,Closed,Lapsed,413219.99,No,Life
POL00048,1303.09,778.26,2069.61,Closed,Active,104093.25,No,Home
POL00049,671.09,3320.14,1062.75,Closed,Lapsed,169512.27,No,Auto
POL00050,1297.23,587.78,575.44,Closed,Active,57898.56,No,Auto
POL00051,1084.48,2288.28,10532.75,Closed,Lapsed,181988.87,No,Life
POL00052,996.92,2856.13,999.8,Closed,Active,397913.84,No,Life
POL00053,1383.5,1810.89,1080.65,Closed,Active,283082.24,No,Life
POL00054,1509.3,1275.71,321.62,Open,Active,206643.02,No,Auto
POL00055,1479.38,1061.52,2850.87,Closed,Cancelled,217282.68,No,Auto
POL00056,948.23,858.09,2129.64,Closed,Active,50609.13,No,Life
POL00057,1107.24,5305.11,449.01,Denied,Active,184910.24,No,Home
POL00058,1299.38,3551.21,154.75,Closed,Active,340906.43,No,Life
POL00059,1492.66,6706.35,2053.79,Closed,Active,488387.5,Yes,Life
POL00060,1056.25,265.46,1913.03,Denied,Lapsed,431177.37,No,Life
POL00061,1144.3,2625.1,574.53,Closed,Active,60617.73,No,Life
POL00062,868.1,5572.25,5423.68,Closed,Active,454352.27,No,Auto
POL00063,841.14,399.91,294.78,Closed,Active,402439.29,No,Home
POL00064,1443.76,137.62,1019.2,Closed,Active,401169.26,No,Life
POL00065,1606.87,2702.79,5176.02,Closed,Active,256098.09,Yes,Home
POL00066,1178.4,1708.85,979.66,Closed,Active,229102.38,No,Home
POL00067,1501.06,3688.15,1831.62,Closed,Active,186312.08,No,Home
POL00068,1308.49,301.12,912.28,Closed,Active,79562.69,No,Life
POL00069,1006.46,3172.1,576.9,Denied,Active,152705.91,No,Auto
POL00070,1308.42,450.36,7440.79,Open,Active,160971.64,No,Life
POL00071,1661.41,357.43,947.71,Closed,Active,267834.68,No,Home
POL00072,1189.25,358.89,4041.45,Closed,Active,386349.98,No,Home
POL00073,1669.39,3370.21,470.35,Closed,Active,263214.42,No,Auto
POL00074,414.08,2188.43,431.39,Closed,Lapsed,76030.0,No,Life
POL00075,1446.57,1480.75,56.93,Closed,Lapsed,481005.41,No,Home
POL00076,1226.11,888.92,1898.27,Closed,Active,474225.94,No,Auto
POL00077,1110.3,4194.41,827.46,Open,Active,403335.29,No,Home
POL00078,1227.53,996.63,3595.93,Closed,Lapsed,496097.56,No,Auto
POL00079,603.73,3392.17,1153.72,Closed,Active,295017.05,No,Auto
POL00080,1134.1,1156.55,6206.55,Closed,Active,483245.76,No,Life
POL00081,1307.13,946.24,369.38,Closed,Active,84022.27,No,Home
POL00082,1643.37,1242.32,3653.43,Open,Active,214556.34,No,Life
